User Code,1 Please select your operating administration or office:,2 Begin typing your work zip code and select your work site from the list that will appear below.  If your site does not appear in the list select 'Site not found'.  If you telework 100% of the time please select the site to which you officially report.,3 What is your employment status?,4 How did you travel TO WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,5 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),6 Did you use the same method(s) of transportation indicated above to commute FROM WORK at the end of your workdays? (If you answer 'Yes' you will skip the next section.  This may conclude your survey.),7 How did you travel FROM WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,8 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),9 [HIDDEN] Thinking about last year what would you say is your PRIMARY commuting method?,If 'other' selected please indicate commuting method:,10 How often did you typically spend a full workday teleworking?,11 Overall how satisfied are you with the following?,Your commute to work,Your commute to home,Your agency's telework program,Your agency's alternative work schedule (AWS) program,12 What is the estimated distance between your home and the nearest public transit station or bus stop?,13 Is there any information you would like to add about your commute that was not addressed in this survey?,14 Were the survey questions clear?,15 Did you experience any technical problems while taking this survey?,Survey site was slow to load some/all questions,I was unable to connect to the survey on my first try,My survey link did not work,I had another technical problem not addressed here,I did not have any technical problems,16 How was your overall experience with this survey?,CO2e Emissions (CO2e MT) / year
8E9SDFJ3,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,1,Transit rail (e.g. subway),10,,,Transit bus,1,Transit rail (e.g. subway),10,,,Transit bus,1,Transit rail (e.g. subway),10,,,Transit bus,1,Transit rail (e.g. subway),10,,,Transit bus,1,Transit rail (e.g. subway),10,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,1 mile to 1.5 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.802335496
8I7OCH2J,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,Transit rail (e.g. subway),13,Walk,2,,,Transit rail (e.g. subway),13,Walk,2,,,Transit rail (e.g. subway),13,Walk,2,,,Bicycle,18,,,,,Bicycle,18,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Less than 0.25 mile,"I would prefer to bike more, if there were more bike lanes to make it shorter and less dangerous than my current 18 mile (one way) route",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Unfavorable.  I had significant problems with the survey.,0.587369952
8J728YS0,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,N/A: Teleworked,,N/A: Teleworked,,N/A: Teleworked,N/A,N/A: Teleworked,,N/A: Teleworked,,N/A: Teleworked,N/A,N/A: Teleworked,,N/A: Teleworked,,N/A: Teleworked,N/A,N/A: Teleworked,,N/A: Teleworked,,N/A: Teleworked,N/A,N/A: Teleworked,,N/A: Teleworked,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,Five times a week,,N/A,N/A,Somewhat dissatisfied,Very satisfied,Don't know or not sure,The telework infrastructure for USAID could be made quicker and more reliable to facilitate the task of working from home.,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0
8KZIYGKI,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),2,,,Transit bus,2,Transit rail (e.g. subway),2,,,Transit bus,2,Transit rail (e.g. subway),2,,,Transit bus,2,Transit rail (e.g. subway),2,,,Transit bus,2,Commuter rail (e.g. regional),2,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,1.5 miles to 2 miles,No,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.250793104
8L5FZCR2,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,42,,,,,Transit bus,42,,,,,N/A: Teleworked,N/A,,,,,Transit bus,42,,,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Twice a week,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.242286819
8MGDOWAH,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),2,Transit rail (e.g. subway),2,,,Car (drove alone),2,Transit rail (e.g. subway),2,,,Car (drove alone),2,Transit rail (e.g. subway),2,,,Car (drove alone),2,Transit rail (e.g. subway),2,,,Car (drove alone),2,Transit rail (e.g. subway),,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,"I did not telework because I was not allowed to, even though I have the kind of job where I can telework",,very dissatisfied,very dissatisfied,very dissatisfied,Very satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.465091464
8N5OEHL6,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),1,,,,,Transit rail (e.g. subway),1,,,,,Transit rail (e.g. subway),1,,,,,Transit rail (e.g. subway),1,,,,,Transit rail (e.g. subway),1,Car (drove alone),1,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,0.5 to 1 mile,"Even greater emphasis on regular teleworking would be ideal for productivity, cost control, and the impact on environment. For instance, there could be a mandatory universal telework day once a week to reduce overall heating and electric costs.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.109764372
8Q16IUFD,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,N/A: Teleworked,N/A,,,,,Commuter rail (e.g. regional),100,Transit rail (e.g. subway),,,,Commuter rail (e.g. regional),100,Transit rail (e.g. subway),,,,Commuter rail (e.g. regional),100,Transit rail (e.g. subway),,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commuter rail (e.g. regional),,Twice a week,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,N/A,More than 2 miles,"I ride the Marc Train & then the DC subway to get to work.  The subsidy always has to supplemented with additional funds from my personal checking account.  If I take training in Virginina, that eats up my account even further.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,4.7569152
8RPJT5TU,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,2,Transit bus,3,,,Bicycle,2,Transit bus,3,,,Bicycle,2,Transit bus,3,,,Bicycle,2,,,,,Bicycle,2,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,,Once or twice a month,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Less than 0.25 mile,"Yes, currently because of renovations on the RRB, USAID is requiring the GH Bureau to move to crystal city for the next 2 years. This not only increases commute time for many of us, but also decreases the liklihood of people using public transport because it is less centrally located. For me, my bicycle commute will increase from 2 miles to 6-8 miles, will require bicycle changing rooms and showers, and significant more amount of time in the morning. This will decrease the likelihood that I bike daily. USAID and GSA should have made a much greater effort to find a centrally located building downtown near the rest of USAID instead of moving us out to crystal city. There is much research that shows the negative impact of a long commute on perceived quality of work environment. If they were unable to find a centrally located building, then they should have given greater notice than a couple of months, so that employees could better prepare for the move.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.088734773
8RWY3PHW,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,8,,,,,Bicycle,8,,,,,Bicycle,8,,,,,Transit bus,10,,,Walk,10,Bicycle,8,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,,Once or twice a month,,Very satisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Less than 0.25 mile,"There should be better facilities for bikers, lockers and showers that are cleaner and more accessible and I think we should also get an incentives bonus for a low carbon footprint (days off or other recognition)",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.098594192
8TOVJMLT,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Car (drove alone),6,Transit rail (e.g. subway),6,,,Car (drove alone),6,Transit rail (e.g. subway),6,,,Car (drove alone),6,Transit rail (e.g. subway),6,,,Car (drove alone),6,Transit rail (e.g. subway),6,,,N/A: Teleworked,N/A,N/A: Teleworked,N/A,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once a week,,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.1885112
8TS4Z8OR,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),7,,,,,Transit rail (e.g. subway),7,,,,,Transit rail (e.g. subway),7,,,,,Transit rail (e.g. subway),7,,,,,Transit rail (e.g. subway),7,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,very dissatisfied,Neither satisfied nor dissatisfied,0.5 to 1 mile,"I don't understand, with the $130 limit, why at the end of the month (where I've had a vacation or sick leave), the Agency sweeps any remainder since the following month, I'm in the hole and would have used the funds.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.52712688
8VTPUP8J,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,1,,,,,Bicycle,1,,,,,Bicycle,1,,,,,Bicycle,1,,,,,Bicycle,1,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,,Once or twice a month,,Very satisfied,Very satisfied,Somewhat satisfied,very dissatisfied,Less than 0.25 mile,The Ronald Reagan Building does not have enough bike racks.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0
8VYTORCM,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,8,,,,,Transit bus,8,,,,,Transit bus,8,,,,,Transit bus,8,,,,,Transit bus,8,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,I did not telework because I chose not to telework,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.394376768
8W26WS20,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),18,,,,,Transit rail (e.g. subway),18,,,,,Transit rail (e.g. subway),18,,,,,Transit rail (e.g. subway),18,,,,,Transit rail (e.g. subway),18,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,very dissatisfied,Somewhat satisfied,0.5 to 1 mile,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",1.35546912
8W5PAA46,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,I did not telework because I chose not to telework,,very dissatisfied,very dissatisfied,N/A,Very satisfied,1 mile to 1.5 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.15060768
8XP0C8S8,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,35,,,,,Transit bus,35,,,,,Transit bus,35,,,,,Transit bus,35,,,,,Transit bus,35,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,I did not telework because I chose not to telework,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.72539836
8YWBRS3J,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,3,,,,,Walk,<1,Transit rail (e.g. subway),3,,,Walk,<1,Bicycle,3,,,Walk,3,,,,,Walk,<1,Transit rail (e.g. subway),3,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.090364608
8Z6S7SQG,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Other,53,,,,,Other,53,,,,,Other,53,,,,,Other,53,,,,,Other,53,,,,,Slug,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,Less than once a month,,Somewhat dissatisfied,Somewhat dissatisfied,very dissatisfied,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0
8ZCD8GE4,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),45,,,,,Car (drove alone),45,,,,,Car (drove alone),45,,,,,Car (drove alone),45,,,,,Car (drove alone),45,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,I did not telework because I chose not to telework,,very dissatisfied,very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,More than 2 miles,Another option for #10 should be: I did not telework because I was not aware or informed that I could telework.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,7.7536197
90A8RFXX,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,I did not telework because I chose not to telework,,very dissatisfied,very dissatisfied,N/A,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.7530384
91B3RD10,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),16,,,,,Car (drove alone),16,,,,,Car (drove alone),16,,,,,Car (drove alone),16,,,,,Car (drove alone),16,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Less than once a month,,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,Very satisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,2.75684256
92LOXC56,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,8,Transit rail (e.g. subway),20,,,Transit bus,8,Transit rail (e.g. subway),20,,,Transit bus,8,Transit rail (e.g. subway),20,,,Transit bus,8,Transit rail (e.g. subway),20,,,Transit bus,8,Transit rail (e.g. subway),20,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,"I did not telework because I must be physically present on the job (e.g., Law Enforcement)",,Somewhat dissatisfied,Somewhat dissatisfied,N/A,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",1.900453568
937RO1FF,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),8,Transit rail (e.g. subway),20,Car (drove alone),8,Car (drove alone),8,Transit rail (e.g. subway),20,Car (drove alone),8,Car (drove alone),8,Transit rail (e.g. subway),20,Car (drove alone),6,Car (drove alone),8,Transit rail (e.g. subway),20,Car (drove alone),8,Car (drove alone),8,Transit rail (e.g. subway),20,Car (drove alone),8,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,I did not telework because I chose not to telework,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,4.193998296
93DEP1AH,U.S. Agency for International Development ,"10009 - Harry S Truman Building - 2201 C St NW, , Washington, DC 20522",Federal Government Employee,,Transit rail (e.g. subway),3,Walk,1,,,Transit rail (e.g. subway),3,Walk,1,,,N/A: Teleworked,N/A,,,,,Transit rail (e.g. subway),3,Walk,1,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Twice a week,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,N/A,Less than 0.25 mile,"I'm only somewhat dissatisfied with my commute because it takes 35-40 minutes, which is a little longer than I would like. But I LOVE having public transportation and am especially grateful for the stipend from the government, which definitely encourages me to take the public transit as opposed to driving myself (which would likely be only 10-15 minutes, barring any major roadblocks, of course.)",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.135546912
94VP2HP4,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,,,,,Transit bus,1,Transit rail (e.g. subway),3,Walk,<1,Transit bus,1,Transit rail (e.g. subway),3,Walk,<1,Transit bus,1,Transit rail (e.g. subway),3,Walk,<1,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Twice a week,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,N/A,Less than 0.25 mile,"It will increase now that our Bureau is moving to Crystal City, Virginia, outside of Washington, DC. Add 5-10 miles of commuting time, largely on transit rail, one way.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.16512517
96YCJMSR,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,<1,Transit rail (e.g. subway),25,,,N/A: Teleworked,N/A,,,,,Walk,<1,Transit rail (e.g. subway),25,,,Walk,<1,Transit rail (e.g. subway),25,,,Walk,<1,Transit rail (e.g. subway),25,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Very satisfied,Very satisfied,Very satisfied,N/A,0.5 to 1 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.5060768
9A3ATMB5,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,Car (drove alone),15,,,,,Car (drove alone),15,,,,,Car (drove alone),15,,,,,Car (drove alone),15,,,,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,I did not telework because I chose not to telework,,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,2.06763192
9BCMHFZY,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,15,Transit rail (e.g. subway),15,,,Carpool/Vanpool,15,Transit rail (e.g. subway),15,,,Carpool/Vanpool,15,Transit rail (e.g. subway),15,,,Carpool/Vanpool,15,Transit rail (e.g. subway),14,,,N/A: Teleworked,N/A,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,1 mile to 1.5 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.922401272
9G642OSL,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,<1,Transit rail (e.g. subway),6,Walk,<1,Walk,<1,Transit rail (e.g. subway),6,Walk,<1,Walk,<1,Transit rail (e.g. subway),6,Walk,<1,Walk,<1,Transit rail (e.g. subway),6,Walk,<1,Walk,<1,Transit rail (e.g. subway),6,Walk,<1,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk,,Once or twice a month,,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,0.5 to 1 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.45182304
9IRA4ZSJ,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,4,Transit rail (e.g. subway),12,,,Carpool/Vanpool,4,Transit rail (e.g. subway),12,,,Carpool/Vanpool,4,Transit rail (e.g. subway),12,,,Carpool/Vanpool,4,Transit rail (e.g. subway),12,,,Carpool/Vanpool,4,Transit rail (e.g. subway),12,,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,1.5 miles to 2 miles,"My husband commutes to Gaithersburg, MD from Fall Church, VA and he drops me off at the East Falls Church Metro; sometimes his commute takes longer than we anticipate and it can be very cold waiting in the East Falls Church Metro for him to come.  There needs to be some warm place for people to wait for their Kiss and Ride person to show up if you want more people to commute.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.2482514
9JHFWYYJ,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),14,,,,,Transit rail (e.g. subway),14,,,,,Transit rail (e.g. subway),14,,,,,Transit rail (e.g. subway),14,,,,,Transit rail (e.g. subway),14,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,I did not telework because I chose not to telework,,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,1.5 miles to 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.05425376
9K50US4G,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),8,Transit rail (e.g. subway),12,,,Car (drove alone),8,Transit rail (e.g. subway),12,,,Car (drove alone),8,Transit rail (e.g. subway),12,,,Car (drove alone),8,Transit rail (e.g. subway),12,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once a week,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.825653888
